B2.1.4  Total Provincial Operating Funding,B2.1.1  Public Library Operating Grant (PLOG),B5.0  Total Operating Expenditures,B4.02.1  Total funds (not including employee benefits),"B4.04  Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)","B4.01.2  Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)",P2.2  Resident Households Served,C0.2.T  Total Print Volumes Held,D1.1.1.C  Librarians,"G1.1.2.W  All circulation for E-books, downloadable audio books, music and video ","E7.1  In the space provided, please provide the total, combined square footage of all the facilities in your library system",Actual incidents
"1,446","1,446","1,446",0,0,0,285,0,0,0,0,..
"234,611","221,373","4,734,459","2,447,274","370,551","472,752","48,051","177,343",9,"4,490","68,557",..
"13,903",903,"65,106","30,000","19,000",0,0,"2,334",0,0,"1,324",
"15,611","2,611","25,477","17,143","1,564",663,0,"1,382",0,0,"1,500",
"14,719","1,719","119,396","61,439","5,898",0,0,"10,848",0,0,"3,270",178
"39,644","24,268","901,690","491,746","82,891","6,154","9,771","39,121",0,261,"10,816",..
"78,320","77,681","3,453,828","1,918,378","123,687","195,222","34,032","108,179",8,"3,163","48,704",
"25,803","22,199","834,449","490,027","13,427","10,000","6,243","67,965",1,67,"11,095",
"6,242","3,425","64,820","37,248","4,902",0,768,"10,740",0,2,0,
"31,000","27,939","1,202,003","867,000","106,377","17,619","8,958","51,680",2,773,"18,369","1,443"
"12,753","12,370","367,893","194,190","30,816","6,242","2,666","27,783",0,75,"4,000",..
"1,498","1,498","1,498",0,0,0,398,0,0,0,0,
"32,513","32,208","1,761,819","977,655","390,700","36,163","11,522","49,443",2,660,"20,000",..
"32,513","32,208","1,761,819","977,655","390,700","36,163","11,522","49,443",2,660,"20,000",47
"32,513","32,208","1,761,819","977,655","390,700","36,163","11,522","49,443",2,660,"20,000","1,236"
"1,225","1,225","1,225",0,0,0,0,0,0,0,0,
"92,828","85,571","2,335,449","1,027,536","354,372","86,917","22,007","120,773",5,"1,092","23,300","5,310"
"12,669","10,134","284,616","152,729","22,429","10,493","2,570","30,930",0,157,0,
"15,312","2,312","37,614","29,609",0,0,0,"4,785",0,0,0,
"1,644","1,644","6,550",0,0,0,306,0,0,0,0,..
"9,581","9,110","404,211","207,979","62,056","13,629","1,999","33,469",1,150,"11,000",108
"14,412","1,412","14,412","8,250","1,902",0,0,"4,195",0,8,400,
"3,496","3,496","157,422","75,116","15,766","2,988",716,"9,904",1,15,"4,144",..
"14,302","1,302","51,754","37,767","6,178",557,0,"3,278",1,0,0,
