B2.1.4  Total Provincial Operating Funding,B2.1.1  Public Library Operating Grant (PLOG),B5.0  Total Operating Expenditures,B4.02.1  Total funds (not including employee benefits),"B4.04  Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)","B4.01.2  Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)",P2.2  Resident Households Served,C0.2.T  Total Print Volumes Held,D1.1.1.C  Librarians,"G1.1.2.W  All circulation for E-books, downloadable audio books, music and video ","E7.1  In the space provided, please provide the total, combined square footage of all the facilities in your library system",Actual incidents
"19,614","19,614","321,633","146,888","22,616","5,682","4,080","16,656",0,139,"5,655",
"7,761","7,761","119,126",0,0,0,"1,602",0,0,0,0,
"45,008","22,892","642,265","401,423","55,321","13,189","7,034","44,363",1,194,"1,200",
"132,806","123,224","4,525,052","1,769,699","224,616","268,278","36,066","146,728",6,"6,158","33,412","5,847"
"1,993","1,993","9,760","1,500","4,325",0,0,"11,538",0,0,"1,000",
"106,425","97,833","5,345,918","2,942,078","252,029","361,382","31,707","137,647",10,"6,746","46,140",
"38,328","35,558","853,211","474,887","116,966","31,735","10,304","39,399",1,325,"23,116",
"31,827","29,452","815,250","444,233","93,738","11,836","7,305","37,219",2,388,"19,300",459
"22,101","14,500","237,364","130,795","20,512","4,672","3,471","12,091",0,107,"10,000",..
"9,701","9,701","166,591","115,639",876,"3,017","2,211","28,806",0,78,"6,000",..
"78,243","50,427","1,459,211","1,041,835","158,505","73,637","13,645","34,795",0,"1,092","11,475",..
"2,069","2,069","12,777","4,200",0,867,459,0,0,20,"1,652",
"85,021","64,569","1,682,138","828,802","183,548","65,000","17,830","83,561",3,"1,242","21,883",..
"2,305","2,305","102,580","42,541","22,070","13,059",455,"15,057",0,48,"1,770",..
"24,370","24,370","449,418","242,937","88,596","4,471","6,028","16,426",0,200,"2,209",
"22,772","9,878","157,982","100,232",0,"2,864","1,938","24,659",0,72,0,
"3,242","3,003","87,165","56,978","8,983","3,742",444,"8,357",0,31,"2,850",..
"16,720","16,720","559,139","367,995","33,593","12,584","3,979","21,960",1,258,"6,562",390
"16,720","16,720","559,139","367,995","33,593","12,584","3,979","21,960",1,258,"6,562",..
"16,720","16,720","559,139","367,995","33,593","12,584","3,979","21,960",1,258,"6,562",464
"2,698","2,698","4,403",0,0,0,0,0,0,0,0,
"122,199","118,499","9,760,981","4,259,906","865,563","418,783","67,627","320,478",26,"15,810","102,000",
"44,876","32,750","713,644","338,214","176,861","18,945","7,703","28,786",0,308,"8,629",
397,397,397,0,0,0,0,0,0,0,0,
289,289,289,0,0,0,0,0,0,0,0,
"15,726","15,272","816,538","463,604","65,955","19,012","6,476","41,584",2,336,"8,514",
"12,853","7,128","189,903","136,646","12,120","3,146","1,885","11,923",1,8,"6,000",
"16,073","3,073","65,492","50,870",0,398,0,"3,325",0,0,"1,500",
"15,051","2,051","55,180","13,000","6,000","2,000",0,"10,620",0,8,"3,000",
"368,069","160,595","3,131,860","1,802,135","504,819","43,021","34,676","192,167",4,"1,760","44,600","6,851"
"368,069","160,595","3,131,860","1,802,135","504,819","43,021","34,676","192,167",4,"1,760","44,600",308
"3,871","3,871","137,518","85,725","10,002","4,258",649,"11,134",0,11,"2,700",..
"59,757","32,565","835,154","538,468","67,365","10,804","8,778","39,306",2,793,"16,000",
"23,424","19,959","214,087","126,148",0,"2,396","5,050","36,678",0,157,0,
"13,969",969,"37,585","24,977","5,478",0,0,"8,777",0,0,0,
"37,113","34,932","805,458","317,577","77,844","21,606","8,709","43,765",1,545,"10,020",
"14,553","1,553","25,903","13,053","7,600",0,0,"4,527",0,0,0,
"25,342","25,342","154,235","88,968","15,480","23,354","7,334","16,811",1,143,208,
"6,283","6,069","397,905","221,096","40,665","12,667","2,904","32,997",1,305,"5,000",
"11,703","11,102","326,186","199,723","27,119","13,081","2,677","23,591",0,119,"3,500",32
"6,906","5,827","34,060","15,010",0,504,"1,302","10,302",0,17,0,
"41,947","28,947","206,872","142,463","10,481","10,576",0,"29,310",0,5,"1,200",
"20,921","19,321","998,956","267,242","37,244","11,378","4,391","34,017",1,248,"8,397",942
"6,464","5,621","69,791","36,200","14,098","1,000","1,235","19,114",0,36,"5,813",
"6,580","6,197","93,297","50,019","13,294","1,196","1,441","9,321",0,74,"1,800",
"11,537","11,360","317,052","145,620","19,110","5,918","2,710","14,244",1,38,"6,572",
"1,976","1,949","78,980","34,183","6,780",890,437,"4,703",0,10,"1,004",
"28,504","22,364","855,626","592,423","66,665","10,678","7,796","36,405",1,256,"10,480",
"240,883","228,616","5,690,915","3,177,662","485,601","445,661","59,879","200,512",15,"4,033",0,
"4,247","4,056","54,343","34,869",153,840,997,"10,022",0,9,"2,184",
"4,358","4,358","32,820","19,630","3,538",949,966,"7,830",0,70,"2,000",
"10,830","10,110","623,253","349,339","45,000","7,584","3,233","27,947",1,463,"4,300",
"58,990","54,533","2,423,752","1,639,955","50,620","29,860","17,706","64,605",3,"2,059","27,000","2,482"
"8,810","8,523","186,362","121,771","18,604","1,609","2,119","22,271",0,112,"7,000",
"131,761","127,082","2,736,631","1,257,242","339,522","101,421","24,014","89,628",3,"1,068","25,143","5,310"
"51,402","50,798","3,148,506","1,886,827","92,368","94,861","14,862","70,657",10,"1,984","17,202","2,613"
"12,128","6,528","90,683","56,145","16,224","1,929","1,419","10,047",0,46,956,
"1,901","1,901","1,901",0,0,0,358,0,0,0,0,
"33,932","22,190","454,028","265,153","59,709","2,000","5,430","32,297",0,684,"7,782",
"1,611","1,611","7,176","7,176",0,0,333,"14,000",0,0,0,
"8,636","6,672","87,819","55,585","17,000",0,"1,346","8,806",1,5,"2,200",..
"13,760",760,"27,474","19,204","1,887",7,0,"4,344",0,1,690,
"23,259","22,428","583,460","301,828","49,236","11,436","4,380","30,779",1,243,"6,836",
"5,499","5,093","225,965","129,562","28,928","2,879",893,"13,564",0,25,"7,000",..
"21,060","21,060","1,336,400","671,290","291,813","14,954","7,962","26,146",3,634,"16,500",
"2,954","2,954","56,688","16,038","10,272",840,625,0,1,0,0,..
"13,705",705,"29,754","21,401",0,0,0,"1,816",0,0,878,..
248,248,248,0,0,0,49,0,0,0,0,
"32,428","29,684","672,223","392,958","67,890","9,421","8,498","80,778",2,193,"10,700",
"227,583","220,732","6,723,104","3,863,001","526,725","264,600","50,388","149,485",7,"2,362","53,500","8,117"
"227,583","220,732","6,723,104","3,863,001","526,725","264,600","50,388","149,485",7,"2,362","53,500",253
"227,583","220,732","6,723,104","3,863,001","526,725","264,600","50,388","149,485",7,"2,362","53,500",..
"91,807","90,405","1,907,551","946,065","275,720","36,950","19,695","127,601",2,582,"28,100","4,741"
"37,807","37,807","182,542",0,0,0,"9,712",0,0,0,0,
"5,573,927","5,505,920","211,435,269","133,180,748","22,904,129","11,886,113","1,222,235","9,135,960",447,"222,159","1,883,890","116,414"
"33,099","30,917","623,151","407,508","55,784","11,417","6,883","45,566",1,322,"12,103",..
"29,073","24,237","267,602","148,363","22,038","6,068","5,643","21,048",1,185,"1,915",
"3,305","3,305","10,430","6,814","2,500",10,321,"6,184",0,2,642,
"12,676","12,531","195,913","113,601","9,324","2,300","3,203","16,896",0,62,"5,000",
"4,904","4,904","104,663","81,963","3,000","1,397","1,631","24,505",0,30,"1,500",
"24,176","23,929","769,833","363,685","221,021","13,834","8,092","51,390",0,371,"9,875",
"2,811","2,695","45,168","24,859",600,0,330,"7,716",0,0,0,
"143,234","141,898","19,325,640","10,586,196","603,410","603,230","100,631","430,447",36,"5,770","177,403",
"13,196",196,"14,194","13,000",0,196,0,"7,280",1,6,0,..
"14,956","13,541","426,605","268,691","25,437","12,000","3,228","16,627",0,"2,205","4,280",
"30,181","29,034","901,560","561,733","37,720","14,985","13,358","29,729",1,452,"4,500",
"127,888","127,888","6,588,836","4,262,261","350,184","131,654","45,570","320,162",7,"6,538","60,120",
"99,729","93,574","2,904,805","1,844,740","321,453","118,113","25,370","133,507",6,"2,822","26,037",
"9,645","8,870","208,896","119,725","20,275","4,034","1,279","9,109",0,22,"1,780",
"145,878","83,969","2,145,069","1,165,956","185,945","73,460","23,323","139,613",3,"7,738","40,413",
"141,275","141,275","7,606,783","3,732,177","1,140,848","239,771","34,930","241,958",10,"3,703","98,045",..
"24,190","22,978","419,618","247,657","32,910","6,712","5,852","21,347",0,231,"5,100",
"22,920","17,990","751,017","414,908","91,035","12,898","5,448","37,114",1,243,"21,073",
"52,998","32,986","474,312","275,131","45,061","5,034","7,908","44,864",0,142,"15,674",..
"20,327","16,358","306,051","182,432","24,075","8,100","3,616","13,364",1,253,"10,900",
"1,714","1,714","44,693","26,994","10,118",740,386,"13,348",0,19,"1,728",
"99,982","93,643","5,843,582","3,091,552","559,165","692,798","44,770","205,634",9,"12,135","68,000",
"51,588","28,503","2,561,426","994,189","425,990","111,323","16,561","83,084",5,"6,402","32,000",
"3,102","2,266","48,418","31,146","2,186","5,406",411,"12,837",0,51,"1,636",
"14,362","1,362","39,567","29,754",0,0,0,0,0,0,745,
"5,675","4,696","98,071","73,580","5,346","2,701","1,924","7,064",0,34,"2,500",
"15,795","13,517","105,087","60,612","6,072","2,467","3,549","32,733",0,71,"2,838",
"361,881","354,715","8,076,078","4,593,467","712,189","579,995","99,325","258,090",20,"9,724","103,887","16,465"
"3,273","3,220","54,390","42,738","2,417",771,791,"6,272",0,20,768,
"60,168","54,860","2,612,512","1,710,295","69,078","101,592","18,347","77,445",8,"5,489","24,200","3,133"
"60,168","54,860","2,612,512","1,710,295","69,078","101,592","18,347","77,445",8,"5,489","24,200",..
